Name,В КП,Год выполнения,Описание,Отрасль,Прогресс,Тип,Аудитория,Сегмент,Продукт
SeniorGroup: улучшение опыта потребителей и покупателей гериатрических услуг,No,2019,Описывается,Медицина,Завершен,"CJM, CX-Исследование, Трансформация",,,Индивидуальный проект
ВкусВилл: концепция новой сети магазинов у дома,No,2019,Описан,"FMCG, Grocery, Розница",Завершен,"CJM, Разработка концепции",,,Индивидуальный проект
Рембот: исследование опыта пользователя,No,2019,Описан,"DIY, IT",Завершен,"CJM, UX-Исследование",,,Индивидуальный проект
Туристический Кластер «Гора Белая»: разработка CJM,No,2019,Описан,Туризм,Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
МАВТ-Винотека: исследование опыта покупателей,No,2018,Описан,"FMCG, Розница",Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
CosmoBeauty: диагностика функции создания ценности,No,2025,Описан,"Косметика, FMCG",Завершен,"Стратегия, Трансформация",,,Продуктовый чекап
Maskoholic: чекап ценностного предложения,No,2025,Описан,"Косметика, FMCG",Завершен,"Стратегия, Трансформация",,,Продуктовый чекап
SOKOLOV: клиентский опыт,No,2026,Описывается,Розница,В процессе,CX-Исследование,,,Индивидуальный проект
Streets: исследование потребителей фастфуда,No,2022,Описан,"Horeca, FMCG",Завершен,CX-Исследование,,,Индивидуальный проект
T2: опыт сотрудников и бренд работодателя,No,2026,Описывается,Телеком,В процессе,"EX-Исследование, Стратегия",,,Индивидуальный проект
Tutu.ru: чекап ценностного предложения,No,2025,Описан,Туризм,Завершен,"Стратегия, Трансформация",,,Продуктовый чекап
UnicornGo: культура создания ценности,No,2025,Описан,"Логистика, Услуги",Завершен,"Стратегия, Трансформация",,,КСЦ
Банк Точка: исследование корпоративной культуры,No,2026,Описывается,"Финансы, IT",В процессе,"EX-Исследование, Стратегия",,,Индивидуальный проект
Контур: диагностика треков внутрикарьерного развития экспертов,No,2025,Описан,IT,Завершен,"EX-Исследование, Стратегия",,,Индивидуальный проект
Ланит: исследование пользователей КЭДО,No,2024,Описан,"IT, Услуги",Завершен,CX-Исследование,,,Индивидуальный проект
Ланит: исследование последствий ухода западных вендоров,No,2022,Описан,IT,Завершен,"CX-Исследование, Стратегия",,,Индивидуальный проект
Магнит: разработка бренда работодателя (EVP),No,2026,Описывается,"FMCG, Grocery, Розница",В процессе,"EX-Исследование, Стратегия",,,Разработка EVP
Манго Телеком: культура создания ценности,No,2025,Описан,IT,Завершен,"Стратегия, Трансформация",,,КСЦ
Перекрёсток: проблемы персонала магазинов,No,2024,Описывается,Розница,В процессе,EX-Исследование,,,Индивидуальный проект
Пятёрочка: исследование механик ОС,No,2021,Описывается,Розница,В процессе,CX-Исследование,,,Индивидуальный проект
Сипуни: бренд работодателя,No,2025,Описан,Телеком,Завершен,"EX-Исследование, Стратегия",,,Разработка EVP
Шалаш: исследование для фонда,No,2020,Описывается,Благотворительность,Завершен,CX-Исследование,,,Индивидуальный проект
Яндекс: исследование бренда работодателя,No,2024,Описан,IT,Завершен,"EX-Исследование, Стратегия",,,Индивидуальный проект
Ланит: Барьеры перехода на КЭДО,No,2024,Исследование барьеров перехода на КЭДО у кадровых служб,"IT, Услуги",Завершен,"CX-Исследование, EX-Исследование",,,Индивидуальный проект
